,Unnamed: 0,title,author,genre,platform,story,rate,keywords
251,251,닭강정,박지독,"스토리, 개그",네이버 웹툰,"좌충우돌 코믹 병맛 닭강정 스릴러!
의문의 기계로 인해 사람이 닭강정으로 변했다.
알 수 없는 단서들과 연루된 사람들의 사망, 실종까지, 엄청난 비밀이 숨겨져있음이 드러나는데...",9.72,"['사람', '강정', '기계로', '병맛', '스릴러']"
252,252,머리카락을,이다몽,"스토리, 드라마",네이버 웹툰,기억을 잃어버리는 여중생의 잃어버린 기억 찾기,9.93,"['기억', '여중생', '찾기']"
253,253,그,촌장,"스토리, 판타지",네이버 웹툰,"용사가 마왕을 물리친 후 100년 뒤,
과거의 상처를 잊은 그 판타지 세계 주민들 이야기",9.98,"['과거', '마왕', '사가', '물리', '이야기']"
254,254,어쩐지,디기사 / 두둥,"스토리, 개그",네이버 웹툰,"조직폭력배 전두엽의 보물을 훼손하고 도망자 신세로 전락해버린 손세인. 
위기의 상황을 벗어나기 위해 여장 생활을 선택한다. 
어쩐지 수상하더라니...",9.85,"['선택', '세인', '보물', '위기', '도망자']"
255,255,마음의소리,조석,"에피소드, 개그",네이버 웹툰,"솔직 담백 최강의 개그 만화 &lt;마음의 소리&gt;
날 가져요 엉엉",9.86,"['만화', '개그', '마음', '소리', '솔직']"
256,256,귀전구담,QTT,"옴니버스, 스릴러",네이버 웹툰,"사람들은 모여 무서운 이야기라며 귀신이야기를 한다.
귀신들은 모여 귀신보다 더 무섭고 섬뜩한 사람들의 이야기를 한다.",9.98,"['귀신', '사람', '이야기']"
257,257,하르모니아,YOON / JINU,"스토리, 스릴러",네이버 웹툰,"21세기 개발된 노화방지약 하르모니아로
영생을 얻게 된 인류의 이야기",9.94,"['개발', '노화', '니아', '세기', '방지']"
258,258,"안녕,",하토,"스토리, 감성",네이버 웹툰,특별해지고 싶은 평범한 10대들의 이야기,9.77,"['이야기', '특별', '해지']"
259,259,레이디악숀,령 / 박혬,"스토리, 로맨스",네이버 웹툰,"영화감독을 꿈꾸는 연준, 찌질 했던 과거를 숨긴 채 톱배우로서 새 삶을 살던 동창 원도현을 캐스팅하다!",8.73,"['로서', '과거', '동창', '배우', '영화감독']"
260,260,그래서,재림,"스토리, 로맨스",네이버 웹툰,"세계적인 K-POP 스타 후준과 그의 공식 안티팬 이근영의
24시간 밀착 동거 리얼리티 로맨스.

※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※",9.95,"['동거', '듀얼', '리지', '공식', '리얼리티']"
