,id,title,author,day,genre,story,platform,age,free,complete,thumbnail,web,rate,title
35,35,최후의 금빛아이,알깨 / 새몽,월,"스토리, 판타지","언니의 생일날, 이 세계를 지배하는 신에 의해 모든 것을 잃은 소녀 록시.
자신이 신들의 먹이에 불과하다는 충격적인 진실을 알게 된다.
록시는 심장만 있으면 언니를 되살릴 수 있다는 말을 믿고 험난한 여행을 떠난다.
그러나 곧 그녀를 뒤쫓는 자들과 감당할 수 없는 적들이 나타나는데...
록시는 앞을 막아서는 그들을 물리치고 과연 언니를 되살릴 수 있을까?",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/772734/thumbnail/thumbnail_IMAG06_d0f4c03d-eab6-49d1-be4c-6c7d66ee4f93.jpg,https://comic.naver.com/webtoon/list?titleId=772734&amp;weekday=mon,9.92,최후의 금빛아이
36,36,브랜든,d몬,월,"스토리, 드라마","할렘가 출신의 아웃사이더 브랜든은 우연히 지금과 완전히 다른 세상으로 넘어가게 되고, 그곳에서 '올미어'를 만나게 된다. 자신의 세상에선 사람인게 당연했지만 다른 세상에서는 스스로가 사람임을 증명해야만 하는 처지가 된 브랜든은 혼란에 빠지게 되는데...
&lt;데이빗&gt;,&lt;에리타&gt; d몬작가 '사람 3부작' 마지막 이야기. 
""당신은 무엇입니까?""",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/768433/thumbnail/thumbnail_IMAG06_d450621d-5da5-48db-a66f-684bb9c17818.jpg,https://comic.naver.com/webtoon/list?titleId=768433&amp;weekday=mon,9.87,브랜든
37,37,침범,공세리 / 영영이,월,"스토리, 스릴러","6살이라고 생각하기 힘들만큼 잔혹성을 보이는 '소현', 왠지 모를 꺼림칙함이 느껴지는 고독사 청소업체 직원 '해영'.
그녀를 만난 후, 내 삶이 무너지기 시작했다",네이버 웹툰,18,1,0,https://shared-comic.pstatic.net/thumb/webtoon/747273/thumbnail/thumbnail_IMAG06_70f6b578-d188-4fbd-aea9-d47012218742.jpg,https://comic.naver.com/webtoon/list?titleId=747273&amp;weekday=mon,9.82,침범
38,38,착한건 돈이된다,유성연,월,"스토리, 드라마","인기도 돈도 없는 삼류 스트리머 기찬수. 
어느 날, 전 국민적 관심을 받던 '대낮 유괴사건'이 해결된다. 
이를 해결한 '얼굴 없는 의인'은 CCTV 속 뒷모습만 남긴 채 사라졌고, 사람들의 궁금증은 점점 커져만 가는데... 
사람들이 삼류 스트리머 기찬수의 영상 속 모습과 의인의 뒷모습이 유사함을 알게 되면서, 기찬수는 하루아침에 전 국민적 영웅이 된다. 
기찬수의 영웅 행세는 과연 어디까지 갈 것인가.",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/766575/thumbnail/thumbnail_IMAG06_e5920f55-a8a3-450f-8358-63e26bd77e9c.jpg,https://comic.naver.com/webtoon/list?titleId=766575&amp;weekday=mon,9.72,착한건 돈이된다
39,39,와이키키 뱀파이어,요니요니,월,"스토리, 드라마","고졸 검정고시를 준비 중인 야식 배달원 뱀파이어 김군. 
어느 날 그는 잘못된 주소로 배달을 갔다가 
그곳에서 뱀파이어로 추정되는 한 여자와 마주치게 되는데…",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/744320/thumbnail/thumbnail_IMAG06_e6640d5d-ffa7-40d3-815b-f4429694c482.jpg,https://comic.naver.com/webtoon/list?titleId=744320&amp;weekday=mon,9.97,와이키키 뱀파이어
40,40,사랑의 헌옷수거함,고잉,월,"스토리, 로맨스","짝사랑은 이제 그만! 고잉고등학교에서 가장 핫한 소문, 헌옷수거함에 돈을 넣고 좋아하는 사람의 이름을 외치면 상대방의 마음을 알려준다는데..!
연애 대신 성적과 돈에만 관심 있는 송아람은 그런 소문에 휘둘리지 않는다.
그런 아람의 일상에 학교 인기남 정진우가 불쑥 들어온다. 어디로 튈지 모르는 이 자식을 어떻게 해야 좋을까?",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/758667/thumbnail/thumbnail_IMAG06_3e4fbb5d-40a2-479c-95fa-20d24658a4b2.jpg,https://comic.naver.com/webtoon/list?titleId=758667&amp;weekday=mon,9.96,사랑의 헌옷수거함
41,41,왕따협상,아이아리,월,"스토리, 드라마","일진의 괴롭힘과 어머니의 집착으로 하루하루 지옥 같은 나날들.
왕따 주민성은 최악의 인생에서 벗어나기 위한 협상을 시작한다.",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/752350/thumbnail/thumbnail_IMAG06_6fdde26a-8fb4-4f8e-b297-26d6973aa6e7.jpg,https://comic.naver.com/webtoon/list?titleId=752350&amp;weekday=mon,9.65,왕따협상
42,42,"선배, 그 립스틱 바르지 마요",까페라떼 / JINHA,월,"스토리, 로맨스","좋아하는 직장선배의 애인이 다른 여자와 결혼한다고?
복수를 제안하며 다가오는 완벽남의 설렘 100% 로맨틱 어택! 
화장품 회사를 배경으로 잘생김, 섹시함, 진지함을 갖춘 직진남 후배와
연하는 남자로 안 본다는 직선녀 선배
두 사람의 밀당 &amp; 설렘 로맨스",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/762237/thumbnail/thumbnail_IMAG06_9f71adac-ca5b-4e3c-8b95-4d7b37646467.jpg,https://comic.naver.com/webtoon/list?titleId=762237&amp;weekday=mon,9.87,"선배, 그 립스틱 바르지 마요"
43,43,이중첩자,"피숙혜,하연 / 옆집찰스",월,"스토리, 드라마","전쟁으로 모든 걸 잃은 후 첩자가 된 사샤,
전쟁의 일등공신, 천사의 얼굴을 한 악마 장교 요한에게 발각되는데…!
적국에 사로잡힌 첩자, 이중첩자가 되다!",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/752413/thumbnail/thumbnail_IMAG06_5669bef8-f365-4e23-bc66-fb0571695b25.jpg,https://comic.naver.com/webtoon/list?titleId=752413&amp;weekday=mon,9.94,이중첩자
44,44,원하는 건 너 하나,"달콤J,박성실 / sage",월,"스토리, 로맨스","대기업 경영권을 물려받으려면 5년 전 자신을 떠난 은율과 결혼해 1년 이상 살아야 한다는 할아버지의 유언.
배신의 상처가 아직 크지만 어쩔 수 없이 5살 아이를 홀로 키우고 있는 은율과 어색한 동거를 시작하게 된다.",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/752530/thumbnail/thumbnail_IMAG06_a8f4ded0-6ba9-44b8-8b25-b044884d8d28.jpg,https://comic.naver.com/webtoon/list?titleId=752530&amp;weekday=mon,9.48,원하는 건 너 하나
